(4, 1, 727, 1, 354),
(5, 1, 728, 1, 419),
(6, 1, 729, 1, 343),
(8, 1, 731, 1, 328),
(9, 1, 732, 1, 324),
(10, 1, 733, 1, 169),
(12, 1, 735, 1, 367),
(13, 1, 736, 1, 350),
(14, 1, 737, 1, 355),
(15, 1, 738, 1, 345),
(16, 1, 739, 1, 659),
(17, 1, 741, 1, 335),
(18, 1, 742, 1, 336),
(20, 1, 744, 1, 346),
(21, 1, 745, 1, 356),
(22, 1, 746, 1, 331),
(23, 1, 747, 1, 329),
(24, 1, 748, 1, 351),
(25, 1, 749, 1, 122),
(26, 1, 750, 1, 357),
(27, 1, 751, 1, 475),
(28, 1, 752, 1, 325),
(29, 1, 753, 1, 342),
(30, 1, 754, 1, 339),
(31, 1, 755, 1, 338),
(32, 1, 756, 1, 348),
(33, 1, 757, 1, 340),
(34, 1, 758, 1, 619),
(43, 1, 767, 1, 628),
(44, 1, 768, 1, 617),
(46, 1, 770, 1, 388),
(47, 1, 771, 1, 636),
(48, 1, 772, 1, 399),
(49, 1, 773, 1, 2258),
(55, 1, 779, 1, 590),
(112, 1, 833, 1, 637),
(117, 1, 838, 1, 660),
(118, 1, 839, 1, 2257),
(119, 10, 840, 1, 2256),
(121, 1, 842, 1, 618),
