(1, 1, 832, 1, 1883, 2, 1918, 3, 1935, 1),
(2, 1, 1883, 1, 1801, 1, 598, 1, 575, 2),
(3, 1, 1774, 1, 1682, 1, 725, 2, 1917, 3),
(4, 1, 725, 6, 1186, 5, 1918, 3, 575, 4),
(5, 1, 778, 5, 1483, 6, 1186, 3, 160, 5),
(7, 1, 725, 1, 575, 2, 1904, 2, 1883, 7),
(9, 1, 725, 3, 1267, 2, 1883, 3, 1916, 9),
(12, 1, 834, 4, 1182, 4, 1481, 3, 160, 12),
(15, 1, 832, 2, 1442, 5, 1216, 4, 1916, 15),
(16, 1, 832, 4, 1919, 3, 575, 2, 1969, 16),
(18, 4, 1442, 1, 1186, 4, 1916, 3, 575, 18),
(19, 1, 832, 1, 1267, 1, 1186, 3, 575, 19),
(20, 1, 726, 4, 1497, 4, 1592, 3, 160, 20),
(21, 1, 832, 3, 1760, 5, 1919, 3, 1946, 21),
(22, 1, 725, 4, 1186, 3, 575, 3, 1969, 22),
(24, 3, 1267, 1, 1216, 7, 1917, 3, 575, 24),
(25, 3, 1442, 1, 1216, 4, 1917, 5, 575, 25),
(26, 1, 726, 5, 1824, 7, 1256, 3, 1685, 26),
(28, 1, 837, 5, 1483, 3, 1592, 2, 1682, 28),
(29, 1, 778, 5, 1182, 5, 1216, 2, 1682, 29),
(30, 1, 841, 6, 1483, 2, 1685, 5, 1592, 30),
(31, 1, 778, 7, 1760, 4, 1667, 2, 1681, 31),
(32, 1, 832, 4, 1801, 6, 1917, 3, 575, 32),
(33, 1, 841, 5, 1497, 5, 1667, 2, 1682, 33),
(34, 2, 1760, 1, 1186, 4, 1916, 5, 575, 34),
(35, 2, 1506, 3, 1267, 4, 1216, 2, 675, 35),
(36, 2, 1507, 3, 1442, 4, 1186, 2, 675, 36),
(37, 2, 1508, 3, 1760, 4, 1667, 2, 1684, 37),
(38, 2, 1509, 3, 1483, 4, 1186, 2, 1682, 38),
(39, 2, 1510, 3, 1440, 4, 1216, 2, 1682, 39),
(40, 2, 1511, 3, 1497, 4, 1592, 2, 1846, 40),
(41, 2, 1512, 3, 1801, 4, 1592, 2, 1684, 41),
(42, 2, 1513, 3, 1182, 4, 1667, 2, 1846, 42),
(43, 1, 726, 7, 1440, 5, 1667, 2, 1684, 43),
(44, 1, 841, 6, 1801, 3, 1481, 2, 1684, 44),
(45, 1, 832, 4, 553, 2, 680, 6, 575, 45),
(53, 1, 725, 3, 1592, 3, 675, 2, 1682, 53),
(54, 1, 1774, 1, 1846, 1, 832, 2, 1920, 54),
(101, 1, 725, 3, 465, 4, 1738, 2, 681, 101),
(102, 1, 834, 1, 1774, 1, 1513, 1, 1682, 102),
(103, 1, 726, 1, 1613, 1, 1511, 1, 1684, 103),
(104, 1, 778, 1, 1716, 1, 1507, 1, 1681, 104),
(105, 1, 837, 1, 1638, 1, 1506, 1, 1685, 105),
(106, 1, 837, 1, 1292, 2, 1685, 2, 1225, 106),
(107, 1, 841, 1, 1225, 1, 1510, 1, 1683, 107),
(110, 1, 832, 3, 1225, 4, 1481, 3, 1846, 110),
(111, 1, 1883, 1, 1760, 1, 1941, 1, 575, 111),
(112, 1, 725, 3, 1801, 3, 575, 2, 1946, 112),
(113, 1, 1225, 1, 1684, 1, 725, 2, 1918, 113),
(114, 2, 1064, 5, 1506, 1, 862, 2, 575, 114),
(116, 1, 1613, 1, 681, 1, 832, 2, 1916, 116),
(119, 1, 1069, 3, 418, 3, 482, 8, 575, 119),
(120, 1, 1613, 1, 675, 1, 725, 2, 1919, 120),
(121, 1, 834, 6, 1760, 4, 1186, 2, 1684, 121),
