(6, 1, 825, 5, 832, 4, 1177, 2, 1716, 2, 679, 6),
(8, 1, 823, 7, 832, 2, 1824, 2, 1774, 3, 1846, 8),
(10, 1, 828, 6, 725, 2, 1179, 7, 1186, 2, 677, 10),
(11, 1, 827, 2, 962, 5, 725, 5, 1182, 5, 1876, 11),
(13, 1, 826, 6, 832, 3, 1851, 2, 1638, 3, 681, 13),
(14, 1, 824, 4, 725, 3, 1551, 4, 1216, 2, 1841, 14),
(17, 1, 825, 5, 725, 5, 1256, 3, 676, 2, 1519, 17),
(23, 1, 823, 4, 725, 5, 1230, 5, 1667, 2, 682, 23),
(27, 1, 828, 6, 832, 5, 1450, 2, 1225, 4, 675, 27),
(46, 1, 826, 4, 725, 4, 1494, 3, 1842, 6, 1481, 46),
(47, 1, 1538, 6, 1256, 3, 676, 3, 575, 2, 834, 47),
(48, 1, 824, 4, 832, 2, 1766, 2, 1613, 4, 680, 48),
(49, 6, 1822, 3, 1613, 2, 726, 2, 1684, 3, 575, 49),
(52, 1, 965, 10, 1876, 5, 1838, 4, 575, 2, 823, 52),
(55, 4, 1619, 2, 1862, 3, 1684, 5, 1716, 1, 1861, 55),
(56, 1, 1915, 2, 759, 7, 466, 2, 841, 1, 1915, 56),
(57, 1, 1967, 1, 1511, 2, 599, 3, 1760, 1, 1915, 57),
(58, 1, 1966, 1, 1513, 4, 1267, 2, 470, 1, 1915, 58),
(59, 1, 1915, 2, 763, 2, 469, 2, 841, 1, 1915, 59),
(60, 1, 1965, 1, 1510, 3, 683, 4, 1186, 1, 1915, 60),
(61, 1, 1964, 1, 1510, 1, 672, 3, 1483, 1, 1915, 61),
(62, 1, 1963, 1, 1509, 2, 361, 5, 1919, 1, 1915, 62),
(63, 1, 1915, 2, 766, 3, 470, 2, 834, 1, 1915, 63),
(64, 1, 1962, 1, 1511, 9, 463, 3, 1917, 1, 1915, 64),
(65, 1, 1962, 1, 1513, 8, 471, 3, 1916, 1, 1915, 65),
(66, 1, 1962, 1, 1509, 10, 474, 5, 1920, 1, 1915, 66),
(67, 1, 1915, 2, 760, 6, 474, 2, 837, 1, 1915, 67),
(68, 1, 1915, 2, 765, 2, 548, 2, 778, 1, 1915, 68),
(69, 1, 1961, 1, 1509, 1, 597, 3, 1883, 1, 1915, 69),
(70, 1, 1915, 2, 762, 2, 464, 2, 837, 1, 1915, 70),
(71, 1, 1915, 2, 760, 8, 465, 2, 726, 1, 1915, 71),
(72, 1, 1960, 1, 1512, 2, 672, 4, 1440, 1, 1915, 72),
(73, 1, 1915, 2, 765, 4, 597, 2, 837, 1, 1915, 73),
(74, 1, 1915, 2, 764, 2, 483, 2, 726, 1, 1915, 74),
(75, 1, 1915, 1, 1506, 2, 548, 2, 1464, 1, 1968, 75),
(76, 1, 1915, 2, 764, 9, 463, 2, 778, 1, 1915, 76),
(77, 1, 1959, 1, 1507, 2, 397, 3, 1481, 1, 1915, 77),
(78, 1, 1958, 1, 1506, 3, 586, 2, 1182, 1, 1915, 78),
(79, 1, 1915, 2, 766, 3, 196, 2, 834, 1, 1915, 79),
(80, 1, 1915, 2, 763, 2, 470, 2, 834, 1, 1915, 80),
(81, 1, 1915, 2, 759, 3, 672, 2, 841, 1, 1915, 81),
(82, 1, 1915, 2, 766, 2, 586, 2, 841, 1, 1915, 82),
(83, 1, 1957, 1, 1507, 2, 483, 3, 1497, 1, 1915, 83),
(84, 1, 1956, 1, 1508, 2, 586, 4, 1216, 1, 1915, 84),
(85, 1, 1955, 1, 1506, 7, 466, 4, 1918, 1, 1915, 85),
(86, 1, 1915, 1, 1507, 8, 465, 5, 1919, 1, 1915, 86),
(87, 1, 1954, 1, 1508, 1, 361, 3, 1756, 1, 1915, 87),
(88, 1, 1915, 2, 764, 3, 361, 2, 778, 1, 1915, 88),
(89, 1, 1915, 2, 762, 2, 397, 2, 778, 1, 1915, 89),
(90, 1, 1953, 1, 1506, 2, 470, 3, 1667, 1, 1915, 90),
(91, 1, 1915, 2, 759, 3, 683, 2, 726, 1, 1915, 91),
(92, 1, 1915, 2, 761, 8, 471, 2, 834, 1, 1915, 92),
(93, 1, 1952, 1, 1507, 3, 1592, 1, 196, 1, 1915, 93),
(94, 1, 1951, 1, 1512, 1, 196, 3, 1918, 1, 1915, 94),
(95, 1, 1915, 2, 761, 5, 599, 3, 726, 1, 1915, 95),
(96, 1, 1950, 1, 1513, 2, 597, 5, 1801, 1, 1915, 96),
(97, 1, 1949, 1, 1508, 3, 683, 5, 1917, 1, 1915, 97),
(98, 1, 1948, 1, 1512, 2, 483, 4, 1592, 1, 1915, 98),
(99, 1, 1947, 1, 1511, 2, 397, 3, 1442, 1, 1915, 99),
(100, 1, 834, 1, 1947, 1, 774, 1, 1781, 5, 160, 100),
(108, 1, 961, 3, 682, 6, 1225, 4, 575, 2, 725, 108),
(109, 1, 961, 4, 1685, 6, 1464, 4, 575, 2, 725, 109),
(115, 1, 1291, 1, 1511, 10, 1588, 10, 1682, 2, 1861, 115),
(117, 4, 1619, 2, 1229, 3, 1685, 5, 1613, 1, 1765, 117),
(118, 1, 1069, 1, 726, 12, 1186, 5, 575, 2, 725, 118),
