(125, 1, 851, 1, 898, 1, 923, 2, 937, 2, 846, 125),
(129, 1, 1942, 4, 170, 5, 598, 5, 1935, 3, 1514, 129),
(130, 2, 924, 1, 905, 1, 866, 1, 852, 1, 899, 130),
(131, 1, 882, 5, 1903, 4, 1914, 3, 175, 3, 916, 131),
(133, 2, 1272, 1, 863, 2, 862, 1, 1904, 5, 1939, 133),
(134, 3, 1272, 1, 1907, 2, 1444, 3, 1903, 4, 1936, 134),
(135, 2, 1272, 2, 1642, 5, 1903, 4, 1514, 1, 946, 135),
(158, 5, 1898, 2, 1902, 5, 1514, 2, 598, 1, 1611, 158),
(165, 2, 269, 3, 862, 4, 1514, 2, 1549, 5, 1935, 165),
(170, 1, 915, 1, 855, 1, 864, 2, 877, 1, 914, 170),
(171, 1, 964, 5, 888, 6, 1289, 6, 1933, 6, 1941, 171),
(176, 1, 913, 1, 931, 1, 909, 1, 849, 2, 877, 176),
(177, 8, 1905, 5, 1906, 2, 1444, 2, 175, 4, 1936, 177),
(183, 1, 857, 1, 906, 2, 882, 1, 895, 2, 863, 183),
(188, 3, 1647, 2, 1444, 5, 704, 2, 944, 3, 1935, 188),
(192, 2, 1754, 3, 1935, 2, 598, 3, 1444, 2, 873, 192),
(193, 1, 1712, 2, 1905, 2, 175, 3, 598, 4, 1935, 193),
(194, 1, 1712, 1, 924, 2, 189, 2, 1642, 4, 1935, 194),
(196, 5, 1597, 3, 1549, 2, 598, 1, 916, 3, 1937, 196),
(200, 1, 884, 1, 900, 1, 889, 2, 847, 2, 877, 200),
(201, 5, 1584, 4, 175, 3, 1549, 1, 1657, 1, 946, 201),
(204, 2, 853, 1, 855, 1, 854, 1, 903, 1, 928, 204),
(206, 1, 922, 1, 934, 1, 917, 1, 878, 2, 888, 206),
(208, 5, 1218, 3, 1914, 2, 944, 2, 862, 2, 598, 208),
(210, 4, 1754, 3, 1652, 2, 1549, 3, 1937, 4, 1939, 210),
(212, 1, 1068, 1, 888, 4, 1514, 2, 598, 6, 1939, 212),
(213, 8, 1236, 5, 1514, 2, 598, 5, 1939, 2, 1935, 213),
(222, 1, 942, 1, 893, 1, 856, 2, 864, 2, 858, 222),
(224, 1, 1068, 6, 1914, 2, 860, 3, 1444, 4, 1657, 224),
